address,city,floor,latitude,longitude,price,rooms,sq,year,price_per_sq
Grzegórzki ul. Fabryczna,Kraków,4.0,50.058444,19.9702351,1026066.0,3.0,83.42,2021.0,12300.0
Bronowice ul. Bronowicka,Kraków,3.0,50.0778251,19.900680986965757,596646.0,2.0,46.98,2022.0,12700.0
Nowa Huta Osiedle Urocze,Kraków,3.0,50.0779373,20.0341341,350000.0,1.0,36.9,1956.0,9485.09485094851
Dębniki ul. Sandomierska,Kraków,3.0,50.0517401,19.9311178,944760.0,3.0,78.73,2015.0,12000.0
Stare Miasto Kazimierz,Kraków,1.0,50.051855,19.9449466,1000000.0,3.0,78.7,1900.0,12706.480304955527
Podgórze Fredry,Kraków,2.0,50.027406600000006,19.94132055000001,410000.0,2.0,34.6,2020.0,11849.710982658959
Bieżanów-Prokocim Erazma Jerzmanowskiego,Kraków,1.0,50.0096842,20.0092457,590000.0,4.0,56.42,2015.0,10457.284650833037
Podgórze ul. Stanisława Klimeckiego,Kraków,5.0,50.0492242,19.9703793,569000.0,3.0,54.36,2021.0,10467.255334805004
Dębniki Ruczaj dr. Jana Piltza,Kraków,2.0,50.0076191,19.8888826,569000.0,3.0,50.7,2020.0,11222.879684418145
Podgórze Płaszów,Kraków,1.0,50.0345327,19.9754459,760000.0,5.0,79.6,2015.0,9547.738693467338
Podgórze Zabłocie,Kraków,4.0,50.0478769,19.961368688357496,649000.0,3.0,61.11,2021.0,10620.1930944199
Prądnik Czerwony Dobrego Pasterza,Kraków,5.0,50.0878647,19.9683977,649000.0,2.0,55.21,2020.0,11755.116826661837
Wzgórza Krzesławickie ul.Gustawa Morcinka,Kraków,0.0,50.1047809,20.0362743,197028.0,1.0,25.26,2022.0,7799.999999999999
Podgórze Bagrowa,Kraków,3.0,50.0361989,20.000282,1150000.0,4.0,86.0,2018.0,13372.093023255815
Stare Miasto,Kraków,4.0,50.0590398,19.93716829792899,777000.0,3.0,60.74,2008.0,12792.229173526506
Krowodrza,Kraków,2.0,50.07087985,19.91656311814478,1050000.0,4.0,81.0,1939.0,12962.962962962964
Zwierzyniec Piotra Borowego,Kraków,2.0,50.0469432,19.997153435836697,535000.0,1.0,53.0,2000.0,10094.33962264151
Podgórze Przewóz Przewóz,Kraków,1.0,50.0435196,20.0712999,460000.0,2.0,38.0,2015.0,12105.263157894737
Grzegórzki Stanisława Lema,Kraków,3.0,50.06772015,19.99154900943178,844658.0,4.0,78.94,2021.0,10700.0
Nowa Huta Os. Słoneczne,Kraków,1.0,50.0771546,20.0393941,255000.0,1.0,20.37,1970.0,12518.40942562592
Podgórze Zabłocie,Kraków,4.0,50.0478769,19.961368688357496,429000.0,2.0,34.73,2021.0,12352.433054995681
Krowodrza Świętokrzyska,Kraków,4.0,50.07562685,19.9287277539394,889497.0,3.0,66.42,2020.0,13392.0054200542
Bronowice Bronowicka,Kraków,5.0,50.0778251,19.900680986965757,480000.0,3.0,45.0,1974.0,10666.666666666666
Grzegórzki Kazimierza Kordylewskiego,Kraków,2.0,50.0603359,19.9623163,629000.0,2.0,47.13,2009.0,13346.064078081901
Bronowice Stańczyka,Kraków,8.0,50.0788285,19.8942504,475000.0,2.0,40.88,2021.0,11619.373776908024
Zwierzyniec Królowej Jadwigi,Kraków,2.0,50.0550023,19.908853,915000.0,4.0,92.0,2019.0,9945.652173913044
Stare Miasto Bonerowska,Kraków,4.0,50.059063,19.9457319,490000.0,2.0,41.5,1910.0,11807.22891566265
Krowodrza Łobzów Wrocławska,Kraków,4.0,50.0782971,19.9236467,335000.0,1.0,29.45,1930.0,11375.212224108658
Krowodrza Adama Vetulaniego,Kraków,0.0,50.0947269,19.9247728,280000.0,1.0,25.51,2021.0,10976.087808702468
Nowa Huta Czyżyny,Kraków,1.0,50.0816349,20.016490706002102,358000.0,1.0,34.0,2015.0,10529.411764705883
Łagiewniki-Borek Fałęcki,Kraków,1.0,50.0199633,19.9294446,690000.0,3.0,63.0,2020.0,10952.380952380952
Grzegórzki ul. Grzegórzecka,Kraków,3.0,50.0587885,19.9500605,464702.0,1.0,34.94,2020.0,13300.0
Podgórze ul. Stanisława Klimeckiego,Kraków,2.0,50.0492242,19.9703793,469000.0,2.0,38.97,2021.0,12034.898639979472
Stare Miasto Kleparz,Kraków,1.0,50.0700397,19.9419902,1053910.0,3.0,87.1,1930.0,12100.0
Łagiewniki-Borek Fałęcki Borek Fałęcki Żywiecka,Kraków,0.0,50.014117,19.9179187,899000.0,3.0,82.0,2019.0,10963.414634146342
Grzegórzki ul. Fabryczna,Kraków,4.0,50.058444,19.9702351,933939.0,3.0,75.93,2021.0,12299.999999999998
Nowa Huta Osiedle Słoneczne,Kraków,2.0,50.0771546,20.0393941,249000.0,1.0,26.1,1954.0,9540.229885057472
Bronowice ul. Józefa Chełmońskiego,Kraków,3.0,50.0863097,19.9139884,520000.0,2.0,47.5,2013.0,10947.368421052632
Prądnik Czerwony ul. Dobrego Pasterza,Kraków,4.0,50.0878647,19.9683977,350000.0,1.0,26.62,2012.0,13148.00901577761
Grzegórzki,Kraków,0.0,50.06497215,19.968825516425383,265000.0,1.0,20.0,1970.0,13250.0
Podgórze Solna,Kraków,1.0,50.0476566,19.9537741,880000.0,3.0,68.48,2016.0,12850.467289719625
Dębniki Dębnicki,Kraków,2.0,50.0520343,19.9269287,1290000.0,3.0,96.0,1905.0,13437.5
Podgórze ul. Stanisława Klimeckiego,Kraków,3.0,50.0492242,19.9703793,469000.0,2.0,39.07,2021.0,12004.095213718965
Grzegórzki ul. Fabryczna,Kraków,4.0,50.058444,19.9702351,715780.0,3.0,55.06,2021.0,13000.0
Podgórze Zabłocie Stanisława Klimeckiego,Kraków,2.0,50.0492242,19.9703793,749000.0,3.0,74.05,2021.0,10114.78730587441
Łagiewniki-Borek Fałęcki Borek Fałęcki,Kraków,0.0,50.0232502,19.9346479,899470.0,3.0,81.8,2018.0,10995.96577017115
Bronowice Bronowice Małe Wizjonerów,Kraków,1.0,50.0849209,19.8909484,760000.0,4.0,70.0,2018.0,10857.142857142857
Stare Miasto al. 29 Listopada,Kraków,2.0,49.9730627,19.8323374,669000.0,2.0,58.94,2018.0,11350.52595860197
Prądnik Czerwony Rakowice bp. Jana Prandoty,Kraków,5.0,50.0791121,19.949934073837213,379999.0,2.0,29.3,2020.0,12969.249146757678
Prądnik Biały Azory Mariana Smoluchowskiego,Kraków,3.0,50.0721122,19.909405,590000.0,2.0,52.0,1960.0,11346.153846153846
Stare Miasto Kleparz Długa,Kraków,4.0,50.2658017,19.785956,799000.0,3.0,69.0,1930.0,11579.710144927536
Dębniki,Kraków,6.0,50.0518611,19.9270367,579000.0,2.0,46.35,2021.0,12491.909385113267
Dębniki ul. Sandomierska,Kraków,3.0,50.0517401,19.9311178,795120.0,3.0,66.26,2015.0,11999.999999999998
Grzegórzki,Kraków,1.0,50.06497215,19.968825516425383,649990.0,3.0,50.0,2015.0,12999.8
Prądnik Czerwony Ugorek,Kraków,7.0,50.0770694,19.9803386,245000.0,1.0,19.86,1965.0,12336.354481369588
Stare Miasto ul. gen. Romana Sołtyka,Kraków,3.0,50.0469432,19.997153435836697,1500000.0,4.0,134.0,1938.0,11194.029850746268
Dębniki,Kraków,0.0,50.0518611,19.9270367,629000.0,2.0,48.13,2021.0,13068.772075628505
Prądnik Czerwony Jakuba Majora,Kraków,10.0,50.0884029,19.96545315306553,1350000.0,4.0,118.5,2008.0,11392.405063291139
Łagiewniki-Borek Fałęcki Borek Fałęcki,Kraków,0.0,50.0232502,19.9346479,889470.0,3.0,81.8,2019.0,10873.716381418093
Śródmieście Frycza Modrzewskiego,Kraków,6.0,50.05088545,19.964248157558234,569000.0,2.0,48.4,2001.0,11756.198347107438
Grzegórzki ul. Fabryczna,Kraków,6.0,50.058444,19.9702351,1068993.0,3.0,86.91,2021.0,12300.0
Śródmieście Mogilska,Kraków,3.0,50.0666138,19.9645711,569000.0,2.0,48.69,1966.0,11686.17785993017
Krowodrza al. Kijowska,Kraków,2.0,50.0684308,19.9137868,669000.0,3.0,65.0,1980.0,10292.307692307691
Nowa Huta Czyżyny ul. Woźniców,Kraków,4.0,50.0469432,19.997153435836697,414000.0,1.0,34.5,2022.0,12000.0
Dębniki Barska,Kraków,0.0,50.0471731,19.9322718,349000.0,1.0,31.0,1900.0,11258.064516129032
Krowodrza ul. Nawojki,Kraków,2.0,50.0686102,19.912086,740000.0,3.0,62.73,1978.0,11796.588554120835
Nowa Huta Czyżyny os. Dywizjonu 303,Kraków,10.0,50.0818649,20.0122791,240000.0,1.0,24.0,1980.0,10000.0
Stare Miasto,Kraków,1.0,50.0590398,19.93716829792899,1150000.0,5.0,95.5,1880.0,12041.884816753927
Podgórze ul. Wielicka,Kraków,1.0,50.0336609,19.9712973,349354.0,1.0,38.4,2021.0,9097.760416666668
Łagiewniki-Borek Fałęcki Borek Fałęcki Montwiłła-Mireckiego,Kraków,2.0,50.0189691,19.9251115,295000.0,1.0,27.0,1966.0,10925.925925925925
Dębniki Wacława Lipińskiego,Kraków,4.0,50.0303166,19.9252806,609000.0,3.0,58.0,2007.0,10500.0
Łagiewniki-Borek Fałęcki Borek Fałęcki Tokarska,Kraków,0.0,50.021563,19.9281184,249000.0,1.0,26.0,1960.0,9576.923076923076
Grzegórzki ul. płk. Francesco Nullo,Kraków,2.0,50.0469432,19.997153435836697,836252.0,3.0,76.37,2022.0,10950.006547073457
Podgórze Stare Podgórze,Kraków,3.0,50.0444203,19.9493098,499000.0,1.0,37.2,1900.0,13413.978494623654
Bronowice Juliusza Lea,Kraków,1.0,50.0833247,19.869783648014888,1272770.37,5.0,107.0,2021.0,11895.050186915889
Bronowice ul. Bronowicka 5,Kraków,1.0,50.0778251,19.900680986965757,459996.0,2.0,37.81,2021.0,12165.987833906373
Dębniki Podhalańska,Kraków,0.0,50.0217426,19.9173734,820000.0,4.0,81.0,2010.0,10123.456790123457
Swoszowice ul. Borkowska,Kraków,1.0,50.0033424,19.9040614,360000.0,1.0,33.27,2005.0,10820.559062218214
Grzegórzki,Kraków,3.0,50.06497215,19.968825516425383,899000.0,3.0,75.45,2008.0,11915.175612988734
Łagiewniki-Borek Fałęcki Borek Fałęcki Tokarska,Kraków,0.0,50.021563,19.9281184,249000.0,1.0,29.0,1950.0,8586.206896551725
Dębniki Kobierzyńska,Kraków,0.0,50.0264036,19.9118498,429000.0,2.0,39.04,2021.0,10988.729508196722
Krowodrza Radzikowskiego 56,Kraków,0.0,50.08355245,19.906821708708843,207480.0,1.0,21.84,2020.0,9500.0
Grzegórzki ul. płk. Francesco Nullo,Kraków,4.0,50.0469432,19.997153435836697,790650.0,3.0,70.28,2022.0,11250.0
Krowodrza Królewska,Kraków,1.0,50.073512,19.9149277,550000.0,2.0,47.0,1980.0,11702.127659574468
Nowa Huta Czyżyny ul. Galicyjska,Kraków,4.0,50.0635614,20.0069208,349000.0,1.0,26.0,2020.0,13423.076923076924
Nowa Huta Czyżyny,Kraków,1.0,50.0816349,20.016490706002102,358000.0,1.0,34.0,2015.0,10529.411764705883
Krowodrza Bronowicka,Kraków,1.0,50.081021,19.8917439,637215.0,2.0,55.41,2022.0,11500.0
Krowodrza Łobzów Nawojki,Kraków,2.0,50.0686102,19.912086,740000.0,3.0,63.0,1976.0,11746.031746031746
Grzegórzki,Kraków,2.0,50.06497215,19.968825516425383,658250.0,2.0,52.66,2022.0,12500.0
Podgórze Lwowska,Kraków,0.0,50.0448486,19.950364,850000.0,2.0,71.0,1950.0,11971.830985915492
Krowodrza Bronowicka,Kraków,1.0,50.081021,19.8917439,608760.0,2.0,50.73,2022.0,12000.0
Dębniki Rzemieślnicza,Kraków,1.0,50.0469432,19.997153435836697,589000.0,3.0,57.36,2021.0,10268.479776847978
Krowodrza ul. Juliusza Lea 25,Kraków,2.0,50.0703596,19.9188768,1409720.0,5.0,108.44,2020.0,13000.0
Nowa Huta Czyżyny ul. Woźniców,Kraków,1.0,50.0469432,19.997153435836697,414720.0,1.0,34.56,2022.0,12000.0
Nowa Huta Czyżyny Sołtysowska,Kraków,0.0,50.0605887,20.0240353,299000.0,1.0,32.67,2021.0,9152.127333945515
Grzegórzki ul. Grzegórzecka,Kraków,2.0,50.0587885,19.9500605,368011.0,1.0,27.67,2020.0,13300.0
Podgórze ul. Stanisława Klimeckiego,Kraków,3.0,50.0492242,19.9703793,469000.0,2.0,39.18,2021.0,11970.393057682491
Dębniki Ruczaj,Kraków,0.0,50.0230156,19.9083637,680000.0,3.0,67.0,2009.0,10149.253731343284
Podgórze,Kraków,3.0,50.0430999,19.9529614,269000.0,1.0,35.44,2020.0,7590.293453724606
