address,city,floor,price,rooms,sq,year,price_per_sq
Bieżanów-Prokocim,Kraków,1.0,327500.0,2.0,37.5,2021.0,8733.333333333334
Grzegórzki,Kraków,5.0,510000.0,3.0,61.0,1976.0,8360.655737704918
Prądnik Czerwony,Kraków,1.0,870000.0,4.0,103.0,2002.0,8446.601941747573
Podgórze,Kraków,3.0,429000.0,2.0,34.74,2020.0,12348.87737478411
Prądnik Biały,Kraków,2.0,410000.0,3.0,46.0,2008.0,8913.04347826087
Stare Miasto,Kraków,4.0,549000.0,2.0,46.0,1920.0,11934.782608695652
Łagiewniki-Borek Fałęcki,Kraków,4.0,699000.0,3.0,68.84,2020.0,10153.98024404416
Stare Miasto,Kraków,3.0,460875.0,3.0,61.45,2020.0,7500.0
Grzegórzki,Kraków,5.0,580000.0,3.0,63.4,1996.0,9148.26498422713
Prądnik Biały,Kraków,3.0,565000.0,2.0,58.6,2002.0,9641.638225255972
Prądnik Biały,Kraków,0.0,464130.0,3.0,51.57,2022.0,9000.0
Łagiewniki-Borek Fałęcki,Kraków,0.0,850000.0,3.0,91.3,1960.0,9309.967141292444
Mistrzejowice,Kraków,7.0,478629.0,3.0,59.09,2022.0,8099.999999999999
Mistrzejowice,Kraków,3.0,478629.0,3.0,59.09,2022.0,8099.999999999999
Podgórze,Kraków,3.0,699000.0,3.0,67.54,2021.0,10349.422564406275
Mistrzejowice,Kraków,8.0,458200.0,3.0,58.0,2022.0,7900.0
Bieżanów-Prokocim,Kraków,3.0,295500.0,1.0,36.5,2005.0,8095.890410958904
Prądnik Czerwony,Kraków,2.0,520000.0,3.0,60.0,1980.0,8666.666666666666
Podgórze,Kraków,3.0,759000.0,3.0,78.0,2022.0,9730.76923076923
Mistrzejowice,Kraków,0.0,330120.0,2.0,36.68,2022.0,9000.0
Nowa Huta,Kraków,1.0,690000.0,2.0,55.4,1970.0,12454.873646209386
Grzegórzki,Kraków,3.0,981000.0,3.0,81.75,2020.0,12000.0
Podgórze Duchackie,Kraków,1.0,389000.0,2.0,44.25,2021.0,8790.9604519774
Dębniki,Kraków,1.0,550000.0,2.0,52.0,2009.0,10576.923076923076
Prądnik Biały,Kraków,1.0,445000.0,3.0,50.64,2021.0,8787.519747235387
Dębniki,Kraków,4.0,352700.0,2.0,35.27,2021.0,10000.0
Prądnik Biały,Kraków,6.0,440412.0,3.0,44.94,2020.0,9800.0
