address,city,floor,latitude,longitude,price,rooms,sq,year,price_per_sq
Grzegórzki Dąbie Dąbska,Kraków,0.0,50.064613,19.9820189,730000.0,3.0,73.81,2013.0,9890.258772524048
Podgórze Okólna,Kraków,4.0,50.0164142,19.9837781,439000.0,3.0,48.2,1980.0,9107.883817427386
Podgórze ul. Koszykarska,Kraków,2.0,50.0498929,19.9906026,543558.0,3.0,53.0,2021.0,10255.811320754718
Bieżanów-Prokocim Złocień,Kraków,4.0,50.0225216,20.0481276,290829.0,2.0,37.77,2021.0,7699.999999999999
Nowa Huta Okulickiego,Kraków,1.0,50.087129,19.9950474,580000.0,3.0,62.0,2014.0,9354.838709677419
małopolskie,Kraków,3.0,50.0619474,19.9368564,429000.0,2.0,46.69,2021.0,9188.263011351468
Podgórze Duchackie Wola Duchacka,Kraków,5.0,50.0146222,19.953758,546910.0,3.0,60.1,2021.0,9100.0
Bronowice Stańczyka,Kraków,1.0,50.0788285,19.8942504,302111.2,1.0,29.33,2021.0,10300.415956358678
Mistrzejowice,Kraków,1.0,50.09742625,20.00960263225891,502374.0,4.0,66.12,2020.0,7597.912885662431
Prądnik Biały Henryka Pachońskiego,Kraków,5.0,50.0949773,19.920405494289955,418362.0,3.0,46.94,2021.0,8912.697060076694
Prądnik Czerwony,Kraków,2.0,50.0859419,19.96660060819073,510000.0,3.0,52.83,1980.0,9653.605905735378
Dębniki Ruczaj Chmieleniec,Kraków,1.0,50.0204807,19.8980137,529900.0,2.0,54.0,2007.0,9812.962962962964
Prądnik Biały Józefa Chełmońskiego,Kraków,1.0,50.0863097,19.9139884,440000.0,2.0,48.4,2008.0,9090.909090909092
Bieżanów-Prokocim,Kraków,0.0,50.01706235,20.022991856015395,498312.0,4.0,61.52,2021.0,8100.0
Prądnik Czerwony Reduta,Kraków,3.0,50.1609054,19.743089127291668,680000.0,3.0,61.01,2017.0,11145.713817406982
Mistrzejowice ul. Piasta Kołodzieja,Kraków,6.0,50.0986433,20.0132206,756284.0,4.0,87.94,2020.0,8600.0
Nowa Huta Czyżyny Nowohucka 46,Kraków,1.0,50.0558029,19.9993305,305370.0,1.0,26.1,2022.0,11700.0
Podgórze Duchackie Wola Duchacka Henryka Kamieńskiego,Kraków,7.0,50.0288704,19.9568753,369000.0,2.0,38.86,2021.0,9495.625321667525
Podgórze Duchackie Walerego Sławka,Kraków,6.0,50.0242313,19.959569,419000.0,2.0,44.26,2020.0,9466.78716674198
Podgórze Płaszów,Kraków,1.0,50.0345327,19.9754459,523000.0,3.0,65.38,2022.0,7999.388192107679
Bieżanów-Prokocim Republiki Korczakowskiej,Kraków,6.0,50.0163919,20.0008638,619000.0,3.0,62.5,2014.0,9904.0
Podgórze Duchackie Wola Duchacka Adama Bochenka,Kraków,0.0,50.0127186,19.9775244,319000.0,2.0,35.41,2021.0,9008.754589099126
Prądnik Biały Górka Narodowa abp. Zygmunta Szczęsnego Felińskiego,Kraków,4.0,50.1003474,19.9684566,519000.0,2.0,55.67,2014.0,9322.795042213042
Prądnik Biały Stefana Banacha,Kraków,1.0,50.1015333,19.9640995,528381.0,3.0,57.9,2021.0,9125.751295336788
małopolskie,Kraków,9.0,50.0619474,19.9368564,532350.0,3.0,68.25,2018.0,7800.0
Krowodrza Kazimierza Wielkiego,Kraków,1.0,50.073573,19.9193678,630015.0,3.0,48.5,2020.0,12990.0
Nowa Huta Czyżyny ul. Sołtysowska,Kraków,3.0,50.0605887,20.0240353,535200.0,3.0,55.75,2022.0,9600.0
Nowa Huta Czyżyny,Kraków,2.0,50.0816349,20.016490706002102,295000.0,2.0,27.0,2019.0,10925.925925925925
Dębniki Ruczaj dr. Jana Piltza,Kraków,4.0,50.0076191,19.8888826,352644.0,2.0,35.27,2021.0,9998.41224836972
