address,city,floor,latitude,longitude,price,rooms,sq,year,price_per_sq
Dębniki,Kraków,1.0,50.0230156,19.9083637,397992.0,2.0,43.26,2021.0,9200.0
Prądnik Biały,Kraków,4.0,50.0950503,19.9284425,465000.0,3.0,49.02,2020.0,9485.9241126071
Bieżanów-Prokocim,Kraków,0.0,50.021319,19.9953253,460000.0,2.0,46.3,2014.0,9935.205183585314
Nowa Huta,Kraków,3.0,50.0779373,20.0341341,350000.0,1.0,36.9,1956.0,9485.09485094851
Grzegórzki,Kraków,7.0,50.0789773,19.9605879,330000.0,2.0,36.0,1980.0,9166.666666666666
Bieżanów-Prokocim,Kraków,4.0,50.0219561,20.0509824,547470.0,4.0,71.1,2021.0,7700.000000000001
Bieżanów-Prokocim,Kraków,1.0,50.0181408,20.0508626,611000.0,3.0,64.0,2018.0,9546.875
Nowa Huta,Kraków,5.0,50.0605887,20.0240353,495000.0,3.0,63.28,2021.0,7822.376738305942
Dębniki,Kraków,3.0,50.0517401,19.9311178,944760.0,3.0,78.73,2015.0,12000.0
Stare Miasto,Kraków,1.0,50.051855,19.9449466,1000000.0,3.0,78.7,1900.0,12706.480304955528
Dębniki,Kraków,2.0,50.0462081,19.9106477,479000.0,2.0,51.5,1950.0,9300.970873786408
Nowa Huta,Kraków,2.0,50.0777259,20.0272257,265000.0,2.0,32.6,1968.0,8128.83435582822
Podgórze,Kraków,1.0,50.0454593,20.0002025,448810.0,3.0,48.52,2021.0,9250.0
Prądnik Czerwony,Kraków,4.0,50.0831155,19.9737526,350000.0,2.0,37.0,1960.0,9459.45945945946
Nowa Huta,Kraków,2.0,50.0816349,20.016490706002102,388080.0,2.0,39.6,2022.0,9800.0
Podgórze,Kraków,2.0,50.027406600000006,19.94132055000001,410000.0,2.0,34.6,2020.0,11849.71098265896
Dębniki,Kraków,3.0,50.0230156,19.9083637,850000.0,4.0,102.0,2005.0,8333.333333333334
Prądnik Biały,Kraków,2.0,50.1015333,19.9640995,462181.28,3.0,59.82,2021.0,7726.1999331327315
Prądnik Czerwony,Kraków,0.0,50.0453141,19.9246883,362100.0,2.0,37.0,1978.0,9786.486486486489
Bieżanów-Prokocim,Kraków,1.0,50.0096842,20.0092457,590000.0,4.0,56.42,2015.0,10457.284650833037
Podgórze,Kraków,5.0,50.0492242,19.9703793,569000.0,3.0,54.36,2021.0,10467.255334805004
Dębniki,Kraków,2.0,50.0076191,19.8888826,569000.0,3.0,50.7,2020.0,11222.879684418143
Nowa Huta,Kraków,0.0,50.0469432,19.997153435836697,706800.0,4.0,74.4,2022.0,9500.0
Bieżanów-Prokocim,Kraków,1.0,50.0102971,20.00857,400411.0,2.0,44.99,2021.0,8900.0
Prądnik Biały,Kraków,4.0,50.0949773,19.920405494289955,478000.0,3.0,50.9,2021.0,9390.962671905698
Podgórze Duchackie,Kraków,3.0,50.0242313,19.959569,539000.0,3.0,57.1,2021.0,9439.579684763572
Podgórze Duchackie,Kraków,0.0,50.0242313,19.959569,449000.0,2.0,47.09,2021.0,9534.933106816734
Mistrzejowice,Kraków,5.0,50.09742625,20.00960263225891,380000.0,2.0,36.0,2020.0,10555.555555555557
Podgórze,Kraków,1.0,50.0345327,19.9754459,760000.0,5.0,79.6,2015.0,9547.738693467338
Prądnik Czerwony,Kraków,1.0,50.0858369,19.9714303,629942.0,4.0,70.78,2021.0,8900.0
Podgórze,Kraków,2.0,50.0380294,19.99559564674397,428832.0,2.0,44.67,2023.0,9600.0
