district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
Nowa Huta,Kraków,3,594000.00,3,80.00,1965,7425.00,2020-01-01,
Nowa Huta,Kraków,1,274321.50,1,27.57,2021,9950.00,2020-01-01,
Stare Miasto,Kraków,1,450000.00,1,34.47,1920,13054.83,2020-01-01,
Podgórze,Kraków,1,390881.00,2,40.93,2022,9549.99,2020-01-01,
Prądnik Czerwony,Kraków,5,463050.00,2,44.10,2020,10500.00,2020-01-01,
Prądnik Czerwony,Kraków,4,483600.00,2,46.50,2021,10400.00,2020-01-01,
Stare Miasto,Kraków,0,499900.00,2,43.56,1910,11476.12,2020-01-01,
Mistrzejowice,Kraków,1,655000.00,4,66.00,2020,9924.24,2020-01-01,
Nowa Huta,Kraków,2,353600.00,1,27.20,2022,13000.00,2020-01-01,
Podgórze,Kraków,3,761627.00,3,64.11,2021,11880.00,2020-01-01,
Bieńczyce,Kraków,1,475000.00,3,57.00,1970,8333.33,2020-01-01,
Mistrzejowice,Kraków,2,594080.00,4,75.20,2020,7900.00,2020-01-01,
Nowa Huta,Kraków,2,459700.00,2,45.97,2022,10000.00,2020-01-01,
Zwierzyniec,Kraków,1,1207500.00,5,102.31,2020,11802.37,2020-01-01,
Prądnik Czerwony,Kraków,1,452801.00,2,45.93,2021,9858.50,2020-01-01,
Krowodrza,Kraków,5,480000.00,3,44.65,1980,10750.28,2020-01-01,
Bieżanów-Prokocim,Kraków,1,549000.00,4,55.95,2015,9812.33,2020-01-01,
Bieżanów-Prokocim,Kraków,3,360866.00,1,38.39,2021,9400.00,2020-01-01,
Podgórze,Kraków,0,500827.00,3,55.34,2022,9050.00,2020-01-01,
Dębniki,Kraków,2,550000.00,2,55.00,2012,10000.00,2020-01-01,
Grzegórzki,Kraków,1,385000.00,2,34.10,1980,11290.32,2020-01-01,
Łagiewniki-Borek Fałęcki,Kraków,1,690000.00,3,62.88,2020,10973.28,2020-01-01,
Mistrzejowice,Kraków,3,247000.00,1,26.00,1980,9500.00,2020-01-01,
Dębniki,Kraków,4,479000.00,2,43.90,2021,10911.16,2020-01-01,
Podgórze Duchackie,Kraków,6,320000.00,1,36.00,1970,8888.89,2020-01-01,
Podgórze,Kraków,1,281324.00,1,26.54,2022,10600.00,2020-01-01,
Podgórze Duchackie,Kraków,3,537000.00,4,57.50,1980,9339.13,2020-01-01,
Krowodrza,Kraków,2,375900.00,2,34.15,2021,11007.32,2020-01-01,
Stare Miasto,Kraków,3,1215960.00,4,101.33,1911,12000.00,2020-01-01,
Stare Miasto,Kraków,2,1350000.00,4,139.50,1935,9677.42,2020-01-01,
Mistrzejowice,Kraków,6,530088.00,3,67.96,2020,7800.00,2020-01-01,
Podgórze Duchackie,Kraków,0,349000.00,1,27.53,1910,12677.08,2020-01-01,
Dębniki,Kraków,2,693997.00,3,66.08,2020,10502.38,2020-01-01,
Nowa Huta,Kraków,2,561556.00,3,59.74,2022,9400.00,2020-01-01,
Stare Miasto,Kraków,0,250000.00,1,25.70,1903,9727.63,2020-01-01,
Podgórze,Kraków,1,500683.00,2,48.61,2021,10300.00,2020-01-01,
Podgórze,Kraków,3,628907.50,3,67.99,2022,9250.00,2020-01-01,
Stare Miasto,Kraków,2,510000.00,4,51.00,1970,10000.00,2020-01-01,
Podgórze,Kraków,2,619000.00,3,58.78,2021,10530.79,2020-01-01,
Nowa Huta,Kraków,4,278457.00,1,27.57,2021,10100.00,2020-01-01,
Bronowice,Kraków,2,620000.00,3,59.81,2016,10366.16,2020-01-01,
Prądnik Czerwony,Kraków,0,390000.00,2,44.00,1988,8863.64,2020-01-01,
Prądnik Czerwony,Kraków,2,669814.00,3,75.26,2020,8900.00,2020-01-01,
Podgórze,Kraków,1,526887.00,3,58.87,2023,8950.01,2020-01-01,
Prądnik Biały,Kraków,2,495000.00,2,59.45,2008,8326.32,2020-01-01,
Prądnik Biały,Kraków,2,480000.00,3,52.01,2020,9228.99,2020-01-01,
Bronowice,Kraków,4,730000.00,3,62.67,2010,11648.32,2020-01-01,
Podgórze,Kraków,2,749000.00,3,73.88,2021,10138.06,2020-01-01,
Stare Miasto,Kraków,3,709000.00,2,53.00,1926,13377.36,2020-01-01,
Grzegórzki,Kraków,2,649500.00,3,70.00,2021,9278.57,2020-01-01,
Stare Miasto,Kraków,3,699000.00,2,54.06,1954,12930.08,2020-01-01,
Nowa Huta,Kraków,8,877566.00,3,74.37,2022,11800.00,2020-01-01,
Dębniki,Kraków,0,890000.00,4,87.00,1950,10229.89,2020-01-01,
Krowodrza,Kraków,3,594000.00,2,65.00,1960,9138.46,2020-01-01,
Bieżanów-Prokocim,Kraków,1,329000.00,2,37.50,2022,8773.33,2020-01-01,
Dębniki,Kraków,0,475000.00,3,59.00,2000,8050.85,2020-01-01,
Nowa Huta,Kraków,2,481382.00,3,52.61,2022,9150.01,2020-01-01,
Bieńczyce,Kraków,0,354000.00,2,43.00,1970,8232.56,2020-01-01,
Mistrzejowice,Kraków,5,574584.00,3,64.56,2020,8900.00,2020-01-01,
Nowa Huta,Kraków,1,357204.00,2,35.02,2022,10200.00,2020-01-01,
Podgórze,Kraków,6,419000.00,2,44.42,2021,9432.69,2020-01-01,
Prądnik Biały,Kraków,0,495000.00,2,45.03,2018,10992.67,2020-01-01,
Prądnik Biały,Kraków,1,357000.00,2,35.03,2020,10191.26,2020-01-01,
Bronowice,Kraków,0,600000.00,2,58.00,2009,10344.83,2020-01-01,
Grzegórzki,Kraków,3,750000.00,2,56.00,2009,13392.86,2020-01-01,
Krowodrza,Kraków,2,529000.00,2,41.00,2015,12902.44,2020-01-01,
Nowa Huta,Kraków,2,508813.00,3,57.17,2022,8900.00,2020-01-01,
Nowa Huta,Kraków,2,639000.00,2,57.70,1930,11074.52,2020-01-01,
Nowa Huta,Kraków,1,449000.00,2,43.90,2021,10227.79,2020-01-01,
Podgórze Duchackie,Kraków,2,269000.00,1,25.00,2018,10760.00,2020-01-01,
Dębniki,Kraków,4,519000.00,3,54.00,1999,9611.11,2020-01-01,
Grzegórzki,Kraków,3,915326.00,3,77.57,2021,11800.00,2020-01-01,
Podgórze,Kraków,4,386641.00,1,34.46,2020,11219.99,2020-01-01,
Krowodrza,Kraków,1,630000.00,4,62.00,2021,10161.29,2020-01-01,
Podgórze Duchackie,Kraków,3,560616.00,3,66.74,2022,8400.00,2020-01-01,
Podgórze,Kraków,4,369000.00,2,28.36,2021,13011.28,2020-01-01,
Nowa Huta,Kraków,1,899000.00,4,91.76,2021,9797.30,2020-01-01,
Podgórze,Kraków,1,402577.00,2,33.83,2020,11900.00,2020-01-01,
Zwierzyniec,Kraków,4,670000.00,3,69.28,1930,9670.90,2020-01-01,
Podgórze,Kraków,1,439000.00,2,55.00,2000,7981.82,2020-01-01,
Prądnik Biały,Kraków,0,293100.00,1,25.03,2020,11709.95,2020-01-01,
Dębniki,Kraków,7,938730.00,3,72.19,2020,13003.60,2020-01-01,
Stare Miasto,Kraków,1,184470.00,1,14.19,2021,13000.00,2020-01-01,
Dębniki,Kraków,1,530000.00,4,66.78,2020,7936.51,2020-01-01,
Prądnik Czerwony,Kraków,2,579390.00,3,65.10,2021,8900.00,2020-01-01,
Krowodrza,Kraków,4,535000.00,5,67.00,1980,7985.07,2020-01-01,
Nowa Huta,Kraków,3,1220000.00,4,93.00,2016,13118.28,2020-01-01,
Podgórze,Kraków,1,365000.00,1,28.13,2020,12975.47,2020-01-01,
Podgórze,Kraków,1,376000.00,2,44.60,2022,8430.49,2020-01-01,
Prądnik Biały,Kraków,0,780000.00,3,79.00,2006,9873.42,2020-01-01,
Podgórze,Kraków,0,521669.00,3,57.32,2021,9100.99,2020-01-01,
Bronowice,Kraków,1,435435.00,3,50.05,2021,8700.00,2020-01-01,
Podgórze,Kraków,3,779000.00,3,78.59,2021,9912.20,2020-01-01,
Podgórze Duchackie,Kraków,4,340000.00,2,28.50,1985,11929.82,2020-01-01,
Nowa Huta,Kraków,3,350000.00,1,36.90,1956,9485.09,2020-01-01,
Stare Miasto,Kraków,3,864948.00,4,88.26,1927,9800.00,2020-01-01,
Podgórze,Kraków,4,709000.00,3,69.84,2021,10151.78,2020-01-01,
Krowodrza,Kraków,4,495000.00,2,44.00,2019,11250.00,2020-01-01,
Stare Miasto,Kraków,0,415000.00,2,32.50,1930,12769.23,2020-01-01,
Grzegórzki,Kraków,1,536000.00,2,43.20,2009,12407.41,2020-01-01,
Grzegórzki,Kraków,2,971376.00,3,82.32,2021,11800.00,2020-01-01,
Mistrzejowice,Kraków,7,367444.00,3,48.00,2023,7655.08,2020-01-01,
Stare Miasto,Kraków,1,599093.00,3,55.99,2020,10700.00,2020-01-01,
Grzegórzki,Kraków,0,463320.00,2,38.61,2021,12000.00,2020-01-01,
Zwierzyniec,Kraków,0,458172.00,2,51.48,2021,8900.00,2020-01-01,
Prądnik Czerwony,Kraków,0,525000.00,3,59.00,2015,8898.31,2020-01-01,
Krowodrza,Kraków,0,515000.00,2,43.00,1950,11976.74,2020-01-01,
Nowa Huta,Kraków,1,396900.00,2,37.80,2020,10500.00,2020-01-01,
Podgórze Duchackie,Kraków,1,449000.00,3,49.47,2019,9076.21,2020-01-01,
Podgórze Duchackie,Kraków,6,289000.00,1,34.00,1980,8500.00,2020-01-01,
Podgórze,Kraków,4,587837.50,3,63.55,2022,9250.00,2020-01-01,
Prądnik Biały,Kraków,1,296148.00,1,25.53,2020,11600.00,2020-01-01,
Nowa Huta,Kraków,1,458800.00,2,45.88,2021,10000.00,2020-01-01,
Prądnik Biały,Kraków,0,354700.00,2,35.47,2021,10000.00,2020-01-01,
Dębniki,Kraków,2,558500.00,3,62.38,2017,8953.19,2020-01-01,
Prądnik Biały,Kraków,1,329000.00,2,36.00,2020,9138.89,2020-01-01,
Podgórze,Kraków,3,499000.00,2,46.04,2021,10838.40,2020-01-01,
Stare Miasto,Kraków,0,530000.00,2,48.00,1938,11041.67,2020-01-01,
Nowa Huta,Kraków,2,339000.00,2,34.30,1965,9883.38,2020-01-01,
Bronowice,Kraków,2,459000.00,2,43.64,2021,10517.87,2020-01-01,
Nowa Huta,Kraków,6,494000.00,2,49.08,2019,10065.20,2020-01-01,
Dębniki,Kraków,1,399000.00,2,41.30,2010,9661.02,2020-01-01,
Podgórze,Kraków,0,449000.00,2,57.50,2000,7808.70,2020-01-01,
Bieżanów-Prokocim,Kraków,0,473213.00,3,53.17,2022,8900.00,2020-01-01,
Podgórze,Kraków,1,376000.00,3,44.46,2022,8457.04,2020-01-01,
Bieżanów-Prokocim,Kraków,1,454345.00,2,51.05,2022,8900.00,2020-01-01,
Prądnik Biały,Kraków,1,669000.00,4,80.00,2020,8362.50,2020-01-01,
Stare Miasto,Kraków,0,549000.00,2,51.55,1908,10649.85,2020-01-01,
Podgórze Duchackie,Kraków,6,369000.00,2,38.86,2021,9495.63,2020-01-01,
Stare Miasto,Kraków,1,890000.00,3,70.00,1930,12714.29,2020-01-01,
Podgórze,Kraków,5,779000.00,4,78.59,2021,9912.20,2020-01-01,
Mistrzejowice,Kraków,3,590000.00,4,75.00,1992,7866.67,2020-01-01,
Stare Miasto,Kraków,2,519600.00,2,43.30,1915,12000.00,2020-01-01,
Krowodrza,Kraków,2,740000.00,3,63.00,1976,11746.03,2020-01-01,
Nowa Huta,Kraków,1,450000.00,3,48.65,1970,9249.74,2020-01-01,
Nowa Huta,Kraków,6,795894.66,4,83.27,2021,9558.00,2020-01-01,
Krowodrza,Kraków,7,795000.00,3,68.91,2020,11536.79,2020-01-01,
Nowa Huta,Kraków,5,299000.00,1,32.67,2021,9152.13,2020-01-01,
Krowodrza,Kraków,2,595000.00,4,64.00,1976,9296.88,2020-01-01,
Prądnik Biały,Kraków,2,563699.00,3,65.16,2021,8651.00,2020-01-01,
Podgórze,Kraków,4,480000.00,3,48.40,1970,9917.36,2020-01-01,
Prądnik Biały,Kraków,4,645000.00,3,84.20,1999,7660.33,2020-01-01,
Podgórze,Kraków,1,539000.00,3,56.00,1985,9625.00,2020-01-01,
Podgórze,Kraków,1,386704.00,2,35.51,2021,10890.00,2020-01-01,
Nowa Huta,Kraków,2,387000.00,3,48.00,1955,8062.50,2020-01-01,
Podgórze,Kraków,3,448162.00,3,48.45,2021,9249.99,2020-01-01,
Dębniki,Kraków,0,435614.00,2,52.11,2021,8359.51,2020-01-01,
Dębniki,Kraków,0,569000.00,3,50.76,2020,11209.61,2020-01-01,
Podgórze,Kraków,4,709000.00,3,69.15,2021,10253.07,2020-01-01,
Grzegórzki,Kraków,1,570000.00,3,52.70,1970,10815.94,2020-01-01,
Grzegórzki,Kraków,0,485576.00,2,46.69,2021,10400.00,2020-01-01,
Łagiewniki-Borek Fałęcki,Kraków,1,585000.00,3,65.44,1996,8939.49,2020-01-01,
Nowa Huta,Kraków,1,494000.00,3,53.00,2013,9320.75,2020-01-01,
Grzegórzki,Kraków,1,619048.00,2,55.52,2020,11150.00,2020-01-01,
Prądnik Czerwony,Kraków,3,540000.00,3,65.30,1999,8269.53,2020-01-01,
Podgórze Duchackie,Kraków,6,359000.00,2,38.86,2021,9238.29,2020-01-01,
Stare Miasto,Kraków,3,1819000.00,4,182.00,1876,9994.51,2020-01-01,
Prądnik Czerwony,Kraków,7,549000.00,3,55.30,1963,9927.67,2020-01-01,
Nowa Huta,Kraków,3,630000.00,4,76.35,1950,8251.47,2020-01-01,
Krowodrza,Kraków,0,335340.00,1,29.16,2021,11500.00,2020-01-01,
Nowa Huta,Kraków,9,410000.00,2,41.00,1978,10000.00,2020-01-01,
Bieżanów-Prokocim,Kraków,1,568000.00,3,57.00,2020,9964.91,2020-01-01,
Krowodrza,Kraków,4,319000.00,1,30.77,1914,10367.24,2020-01-01,
Mistrzejowice,Kraków,1,649000.00,3,61.00,2010,10639.34,2020-01-01,
Grzegórzki,Kraków,2,702000.00,3,54.00,2021,13000.00,2020-01-01,
Podgórze Duchackie,Kraków,10,440000.00,3,58.51,1980,7520.08,2020-01-01,
Prądnik Czerwony,Kraków,1,299000.00,1,25.60,1970,11679.69,2020-01-01,
Bieżanów-Prokocim,Kraków,0,395912.00,2,44.99,2021,8800.00,2020-01-01,
Stare Miasto,Kraków,1,845000.00,4,90.00,1912,9388.89,2020-01-01,
Stare Miasto,Kraków,1,940000.00,2,83.00,1911,11325.30,2020-01-01,
Podgórze Duchackie,Kraków,4,529000.00,3,59.92,2021,8828.44,2020-01-01,
Nowa Huta,Kraków,1,385000.00,2,50.00,1957,7700.00,2020-01-01,
Nowa Huta,Kraków,10,269000.00,2,33.50,1980,8029.85,2020-01-01,
Nowa Huta,Kraków,3,782404.92,4,83.27,2021,9396.00,2020-01-01,
Łagiewniki-Borek Fałęcki,Kraków,0,199999.00,2,24.39,1920,8200.04,2020-01-01,
Dębniki,Kraków,1,378000.00,2,41.00,2020,9219.51,2020-01-01,
Krowodrza,Kraków,2,448000.00,2,35.00,2021,12800.00,2020-01-01,
Mistrzejowice,Kraków,7,361050.00,2,41.50,2022,8700.00,2020-01-01,
Bronowice,Kraków,0,690000.00,3,64.34,2020,10724.28,2020-01-01,
Podgórze,Kraków,0,445000.00,2,45.61,2022,9756.63,2020-01-01,
Bronowice,Kraków,1,303480.00,2,33.72,2021,9000.00,2020-01-01,
Podgórze,Kraków,4,533000.00,2,41.00,2017,13000.00,2020-01-01,
Nowa Huta,Kraków,2,369152.00,2,35.84,2022,10300.00,2020-01-01,
Mistrzejowice,Kraków,1,431296.00,2,46.88,2020,9200.00,2020-01-01,
Prądnik Biały,Kraków,0,491000.00,3,55.00,2003,8927.27,2020-01-01,
Łagiewniki-Borek Fałęcki,Kraków,0,1600000.00,5,124.00,1950,12903.23,2020-01-01,
Podgórze Duchackie,Kraków,7,449000.00,2,46.70,2021,9614.56,2020-01-01,
Prądnik Biały,Kraków,0,519000.00,3,66.30,1986,7828.05,2020-01-01,
Stare Miasto,Kraków,10,504000.00,2,44.00,2021,11454.55,2020-01-01,
Prądnik Biały,Kraków,4,889573.87,3,91.36,2021,9737.02,2020-01-01,
Grzegórzki,Kraków,0,380000.00,2,39.15,1960,9706.26,2020-01-01,
Podgórze,Kraków,4,750000.00,2,60.50,2011,12396.69,2020-01-01,
Podgórze,Kraków,5,599999.00,3,67.16,1980,8933.87,2020-01-01,
Bieżanów-Prokocim,Kraków,1,631713.00,4,76.11,2021,8300.00,2020-01-01,
Podgórze Duchackie,Kraków,3,330000.00,2,41.41,2021,7969.09,2020-01-01,
Bieżanów-Prokocim,Kraków,1,535000.00,4,61.70,1980,8670.99,2020-01-01,
Prądnik Biały,Kraków,0,780000.00,3,79.00,2007,9873.42,2020-01-01,
Bieżanów-Prokocim,Kraków,3,310000.00,2,36.42,1969,8511.81,2020-01-01,
Nowa Huta,Kraków,1,528000.00,3,66.00,2005,8000.00,2020-01-01,
Podgórze,Kraków,5,779000.00,3,79.89,2021,9750.91,2020-01-01,
Podgórze,Kraków,3,499000.00,3,55.20,2021,9039.86,2020-01-01,
Prądnik Czerwony,Kraków,2,475000.00,2,53.05,1964,8953.82,2020-01-01,
Bieżanów-Prokocim,Kraków,1,810000.00,3,91.00,1940,8901.10,2020-01-01,
Bronowice,Kraków,1,946926.00,3,84.55,2021,11199.60,2020-01-01,
Bieżanów-Prokocim,Kraków,0,400000.00,2,46.00,2020,8695.65,2020-01-01,
Stare Miasto,Kraków,4,1119000.00,4,95.43,1923,11725.87,2020-01-01,
Nowa Huta,Kraków,4,354996.00,1,32.87,2020,10800.00,2020-01-01,
Prądnik Biały,Kraków,1,697840.00,3,53.68,2021,13000.00,2020-01-01,
Grzegórzki,Kraków,0,375830.00,1,31.85,2021,11800.00,2020-01-01,
Podgórze Duchackie,Kraków,4,379000.00,2,38.86,2021,9752.96,2020-01-01,
Nowa Huta,Kraków,0,439000.00,2,56.31,2021,7796.13,2020-01-01,
Prądnik Biały,Kraków,1,911649.00,5,109.72,2021,8308.87,2020-01-01,
Podgórze,Kraków,3,360000.00,2,34.00,1970,10588.24,2020-01-01,
Dębniki,Kraków,3,585000.00,3,61.68,1996,9484.44,2020-01-01,
Mistrzejowice,Kraków,0,610000.00,3,72.89,1992,8368.77,2020-01-01,
Grzegórzki,Kraków,2,991760.00,3,86.24,2021,11500.00,2020-01-01,
Krowodrza,Kraków,3,679000.00,3,65.85,1950,10311.31,2020-01-01,
Bieńczyce,Kraków,0,389000.00,2,38.19,1973,10185.91,2020-01-01,
Dębniki,Kraków,2,595000.00,3,65.44,2006,9092.30,2020-01-01,
Podgórze,Kraków,5,469000.00,2,40.06,2020,11707.44,2020-01-01,
Bronowice,Kraków,0,550000.00,2,59.00,1999,9322.03,2020-01-01,
Bronowice,Kraków,1,749000.00,3,69.00,2020,10855.07,2020-01-01,
Grzegórzki,Kraków,2,368011.00,1,27.67,2021,13300.00,2020-01-01,
Prądnik Biały,Kraków,5,287845.00,2,25.03,2021,11500.00,2020-01-01,
Stare Miasto,Kraków,4,1123500.00,4,107.00,1920,10500.00,2020-01-01,
Stare Miasto,Kraków,1,950000.00,2,74.00,1908,12837.84,2020-01-01,
Nowa Huta,Kraków,2,295000.00,2,27.50,2019,10727.27,2020-01-01,
Prądnik Biały,Kraków,0,317815.00,2,37.39,2022,8500.00,2020-01-01,
Zwierzyniec,Kraków,1,1755450.00,5,146.69,2019,11967.07,2020-01-01,
Prądnik Biały,Kraków,2,591376.00,3,64.28,2020,9200.00,2020-01-01,
Grzegórzki,Kraków,3,1256000.00,4,95.00,2019,13221.05,2020-01-01,
Podgórze Duchackie,Kraków,0,489200.00,3,61.15,2020,8000.00,2020-01-01,
Prądnik Biały,Kraków,3,436000.00,3,52.03,2020,8379.78,2020-01-01,
Nowa Huta,Kraków,1,870000.00,4,96.00,1993,9062.50,2020-01-01,
Prądnik Biały,Kraków,3,515000.00,2,54.38,2000,9470.39,2020-01-01,
Podgórze,Kraków,3,300000.00,1,29.31,2022,10235.41,2020-01-01,
Bronowice,Kraków,2,460000.00,2,47.00,2017,9787.23,2020-01-01,
Mistrzejowice,Kraków,9,837292.00,4,91.01,2022,9200.00,2020-01-01,
Nowa Huta,Kraków,0,551000.00,4,69.00,1970,7985.51,2020-01-01,
Podgórze Duchackie,Kraków,0,444480.00,2,55.56,2020,8000.00,2020-01-01,
Podgórze,Kraków,3,626820.00,4,80.88,2022,7750.00,2020-01-01,
Podgórze,Kraków,6,1040000.00,3,80.00,2016,13000.00,2020-01-01,
Podgórze Duchackie,Kraków,0,559000.00,3,62.66,2021,8921.16,2020-01-01,
Krowodrza,Kraków,2,549000.00,2,50.00,2010,10980.00,2020-01-01,
Podgórze,Kraków,4,725274.00,3,59.94,2021,12100.00,2020-01-01,
Prądnik Biały,Kraków,1,560946.00,3,66.01,2021,8497.89,2020-01-01,
Łagiewniki-Borek Fałęcki,Kraków,3,647000.00,3,67.00,2020,9656.72,2020-01-01,
Nowa Huta,Kraków,0,390000.00,2,43.50,2006,8965.52,2020-01-01,
Prądnik Czerwony,Kraków,10,400000.00,3,46.22,1970,8654.26,2020-01-01,
Dębniki,Kraków,2,569000.00,3,51.00,2020,11156.86,2020-01-01,
Prądnik Biały,Kraków,0,375000.00,2,46.40,2003,8081.90,2020-01-01,
Bronowice,Kraków,0,629300.00,3,70.00,2021,8990.00,2020-01-01,
Dębniki,Kraków,1,749150.00,4,68.29,2020,10970.13,2020-01-01,
Bronowice,Kraków,1,601833.00,4,72.51,2021,8300.00,2020-01-01,
Podgórze,Kraków,2,552738.00,3,54.00,2021,10235.89,2020-01-01,
Zwierzyniec,Kraków,1,812500.00,4,65.00,2021,12500.00,2020-01-01,
Podgórze Duchackie,Kraków,0,449000.00,2,47.09,2020,9534.93,2020-01-01,
Podgórze Duchackie,Kraków,3,612000.00,3,70.00,2007,8742.86,2020-01-01,
Podgórze,Kraków,3,412755.00,2,39.31,2020,10500.00,2020-01-01,
Mistrzejowice,Kraków,3,465556.00,2,51.16,2020,9100.00,2020-01-01,
Krowodrza,Kraków,2,544180.00,2,59.15,1998,9200.00,2020-01-01,
Mistrzejowice,Kraków,1,399894.00,2,48.18,2020,8300.00,2020-01-01,
Podgórze Duchackie,Kraków,0,769000.00,4,88.73,2021,8666.74,2020-01-01,
Mistrzejowice,Kraków,2,410103.00,3,50.63,2022,8100.00,2020-01-01,
Prądnik Czerwony,Kraków,8,540000.00,3,60.00,1985,9000.00,2020-01-01,
Podgórze Duchackie,Kraków,2,529000.00,3,57.11,2021,9262.83,2020-01-01,
Zwierzyniec,Kraków,1,190000.00,1,16.41,1990,11578.31,2020-01-01,
Podgórze,Kraków,2,469000.00,2,38.97,2021,12034.90,2020-01-01,
Mistrzejowice,Kraków,8,721638.00,3,76.77,2020,9400.00,2020-01-01,
Bieżanów-Prokocim,Kraków,1,256000.00,1,28.51,2020,8979.31,2020-01-01,
Podgórze,Kraków,4,749000.00,3,73.88,2021,10138.06,2020-01-01,
Nowa Huta,Kraków,9,953274.96,4,83.27,2021,11448.00,2020-01-01,
Bronowice,Kraków,0,340000.00,2,40.00,1955,8500.00,2020-01-01,
Prądnik Biały,Kraków,4,1051870.00,5,104.11,2020,10103.45,2020-01-01,
Nowa Huta,Kraków,1,375000.00,2,41.10,1980,9124.09,2020-01-01,
Stare Miasto,Kraków,3,675000.00,3,89.50,2006,7541.90,2020-01-01,
Krowodrza,Kraków,3,455000.00,2,37.76,1958,12049.79,2020-01-01,
Stare Miasto,Kraków,4,420000.00,2,46.00,1985,9130.43,2020-01-01,
Dębniki,Kraków,2,520000.00,2,56.19,2005,9254.32,2020-01-01,
Krowodrza,Kraków,5,988750.00,5,87.50,2022,11300.00,2020-01-01,
Bronowice,Kraków,4,620172.00,2,49.22,2022,12600.00,2020-01-01,
Podgórze,Kraków,0,499000.00,3,50.20,2012,9940.24,2020-01-01,
Podgórze,Kraków,1,359000.00,2,36.14,2021,9933.59,2020-01-01,
Prądnik Czerwony,Kraków,3,490000.00,3,57.92,2021,8459.94,2020-01-01,
Dębniki,Kraków,1,639000.00,4,78.56,2000,8133.91,2020-01-01,
Podgórze,Kraków,0,262500.00,1,25.00,2021,10500.00,2020-01-01,
Nowa Huta,Kraków,3,509000.00,2,40.86,2021,12457.17,2020-01-01,
Podgórze,Kraków,1,621800.00,3,62.18,2021,10000.00,2020-01-01,
Dębniki,Kraków,8,890000.00,4,104.00,2008,8557.69,2020-01-01,
Podgórze,Kraków,0,425885.00,2,44.83,2023,9500.00,2020-01-01,
Mistrzejowice,Kraków,2,590000.00,3,69.93,1995,8437.01,2020-01-01,
Nowa Huta,Kraków,8,872336.52,4,83.27,2021,10476.00,2020-01-01,
Dębniki,Kraków,2,399000.00,2,41.11,2018,9705.67,2020-01-01,
Podgórze Duchackie,Kraków,3,422279.22,2,45.87,2021,9206.00,2020-01-01,
Bieżanów-Prokocim,Kraków,2,597546.00,4,67.14,2021,8900.00,2020-01-01,
Nowa Huta,Kraków,4,330000.00,1,28.00,2018,11785.71,2020-01-01,
Nowa Huta,Kraków,1,648875.00,2,51.91,2021,12500.00,2020-01-01,
Nowa Huta,Kraków,0,469000.00,3,60.00,1955,7816.67,2020-01-01,
Podgórze Duchackie,Kraków,3,615000.00,2,62.00,2013,9919.35,2020-01-01,
Prądnik Biały,Kraków,3,595000.00,3,56.50,2000,10530.97,2020-01-01,
Dębniki,Kraków,1,589000.00,3,57.36,2021,10268.48,2020-01-01,
Prądnik Czerwony,Kraków,10,1350000.00,5,118.50,2008,11392.41,2020-01-01,
Nowa Huta,Kraków,2,340000.00,2,37.23,1955,9132.42,2020-01-01,
Mistrzejowice,Kraków,4,409014.00,2,43.98,2022,9300.00,2020-01-01,
Grzegórzki,Kraków,7,456030.00,3,56.30,2023,8100.00,2020-01-01,
Bronowice,Kraków,2,1100000.00,4,107.00,1998,10280.37,2020-01-01,
Mistrzejowice,Kraków,3,435150.00,2,48.35,2020,9000.00,2020-01-01,
Nowa Huta,Kraków,4,455000.00,2,51.00,1989,8921.57,2020-01-01,
Prądnik Biały,Kraków,1,484000.00,3,57.91,2020,8357.80,2020-01-01,
Podgórze Duchackie,Kraków,1,640000.00,3,71.00,2010,9014.08,2020-01-01,
Mistrzejowice,Kraków,1,410994.00,2,50.74,2022,8100.00,2020-01-01,
Mistrzejowice,Kraków,2,264670.00,1,27.86,2020,9500.00,2020-01-01,
Mistrzejowice,Kraków,2,463828.00,3,61.03,2022,7600.00,2020-01-01,
Prądnik Biały,Kraków,2,539000.00,3,49.00,2019,11000.00,2020-01-01,
Prądnik Czerwony,Kraków,1,468000.00,3,52.50,1980,8914.29,2020-01-01,
Podgórze Duchackie,Kraków,1,549000.00,3,68.64,2021,7998.25,2020-01-01,
Krowodrza,Kraków,4,340000.00,1,29.00,1970,11724.14,2020-01-01,
Nowa Huta,Kraków,3,415000.00,2,40.00,1950,10375.00,2020-01-01,
Mistrzejowice,Kraków,0,460000.00,2,54.00,2001,8518.52,2020-01-01,
Bronowice,Kraków,0,359000.00,2,34.00,1949,10558.82,2020-01-01,
Podgórze,Kraków,2,749000.00,3,74.42,2021,10064.50,2020-01-01,
Bronowice,Kraków,1,562169.00,4,68.15,2022,8248.99,2020-01-01,
Nowa Huta,Kraków,3,595000.00,3,68.00,1950,8750.00,2020-01-01,
Bieżanów-Prokocim,Kraków,9,450000.00,3,56.00,1976,8035.71,2020-01-01,
Nowa Huta,Kraków,0,544380.00,3,63.30,2022,8600.00,2020-01-01,
Bieżanów-Prokocim,Kraków,0,399000.00,3,48.00,2020,8312.50,2020-01-01,
Podgórze,Kraków,0,599000.00,2,50.00,1980,11980.00,2020-01-01,
Dębniki,Kraków,0,399000.00,2,36.58,2022,10907.60,2020-01-01,
Stare Miasto,Kraków,0,399000.00,2,32.00,1898,12468.75,2020-01-01,
