district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
Podgórze,Kraków,1,449000.00,2,43.90,2021,10227.79,2020-01-01,
Stare Miasto,Kraków,2,1100000.00,3,96.70,1935,11375.39,2020-01-01,
Nowa Huta,Kraków,0,381667.00,2,40.82,2022,9350.00,2020-01-01,
Nowa Huta,Kraków,1,349600.00,2,34.96,2022,10000.00,2020-01-01,
Bieżanów-Prokocim,Kraków,2,286000.00,2,38.02,2020,7522.36,2020-01-01,
Podgórze,Kraków,2,379000.00,2,38.86,2021,9752.96,2020-01-01,
Mistrzejowice,Kraków,3,435150.00,2,48.18,2020,9031.76,2020-01-01,
Podgórze Duchackie,Kraków,10,295000.00,1,36.90,1998,7994.58,2020-01-01,
Prądnik Biały,Kraków,3,890000.00,3,78.00,2007,11410.26,2020-01-01,
Prądnik Czerwony,Kraków,0,441686.00,2,45.07,2021,9800.00,2020-01-01,
Krowodrza,Kraków,3,319000.00,1,27.41,2021,11638.09,2020-01-01,
Prądnik Biały,Kraków,1,690000.00,3,70.98,1990,9721.05,2020-01-01,
Podgórze,Kraków,2,356000.00,2,39.57,2022,8996.71,2020-01-01,
Podgórze,Kraków,3,369000.00,2,28.36,2021,13011.28,2020-01-01,
Nowa Huta,Kraków,0,424680.00,2,35.39,2022,12000.00,2020-01-01,
Podgórze,Kraków,2,399000.00,2,38.59,2022,10339.47,2020-01-01,
Podgórze,Kraków,2,1115000.00,4,106.00,2018,10518.87,2020-01-01,
Grzegórzki,Kraków,0,564000.00,2,47.00,2018,12000.00,2020-01-01,
Prądnik Czerwony,Kraków,0,355000.00,2,34.50,2008,10289.86,2020-01-01,
Prądnik Biały,Kraków,1,476649.00,2,50.20,2021,9495.00,2020-01-01,
Krowodrza,Kraków,3,1080000.00,3,118.00,1930,9152.54,2020-01-01,
Prądnik Biały,Kraków,0,539000.00,3,69.00,2007,7811.59,2020-01-01,
Podgórze Duchackie,Kraków,2,465000.00,3,62.00,1984,7500.00,2020-01-01,
Dębniki,Kraków,1,390000.00,1,43.50,2017,8965.52,2020-01-01,
Podgórze Duchackie,Kraków,5,449000.00,3,52.50,1980,8552.38,2020-01-01,
Podgórze Duchackie,Kraków,3,537000.00,4,57.50,1980,9339.13,2020-01-01,
Podgórze Duchackie,Kraków,0,695000.00,4,62.00,2014,11209.68,2020-01-01,
Prądnik Biały,Kraków,3,379000.00,2,38.00,2019,9973.68,2020-01-01,
Nowa Huta,Kraków,0,568000.00,2,50.22,2009,11310.23,2020-01-01,
Stare Miasto,Kraków,2,1290000.00,3,96.00,1930,13437.50,2020-01-01,
Podgórze,Kraków,0,349000.00,1,35.00,1900,9971.43,2020-01-01,
Nowa Huta,Kraków,2,856992.00,3,75.84,2022,11300.00,2020-01-01,
Stare Miasto,Kraków,4,628400.00,2,62.84,2020,10000.00,2020-01-01,
Prądnik Czerwony,Kraków,1,627445.00,3,68.95,2021,9100.00,2020-01-01,
Bieżanów-Prokocim,Kraków,4,292000.00,2,35.00,1980,8342.86,2020-01-01,
Podgórze,Kraków,1,598000.00,4,78.20,1997,7647.06,2020-01-01,
Podgórze,Kraków,1,435000.00,3,55.00,2000,7909.09,2020-01-01,
Krowodrza,Kraków,2,740000.00,3,68.00,1976,10882.35,2020-01-01,
Podgórze,Kraków,4,399121.00,1,39.47,2021,10112.01,2020-01-01,
Bieżanów-Prokocim,Kraków,1,354981.00,2,38.17,2022,9300.00,2020-01-01,
Prądnik Biały,Kraków,2,495000.00,2,60.00,2008,8250.00,2020-01-01,
